Channel 4mu
55 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1700_MA0-500_13TeV-madgraph 3.15590277184e-07
56 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1700_MA0-600_13TeV-madgraph 2.80879630029e-07
57 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2000_MA0-300_13TeV-madgraph-pythia8 0.000170585640888
58 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2000_MA0-400_13TeV-madgraph 9.24601632826e-08
59 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2000_MA0-500_13TeV-madgraph 8.26395559011e-08
60 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2000_MA0-600_13TeV-madgraph 8.23870769965e-08
61 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2000_MA0-700_13TeV-madgraph 6.87099417163e-08
62 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2000_MA0-800_13TeV-madgraph 7.43198989074e-08
63 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2500_MA0-300_13TeV-madgraph-pythia8 3.15289287798e-05
64 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2500_MA0-400_13TeV-madgraph 1.67875450366e-08
65 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2500_MA0-500_13TeV-madgraph 1.38827981576e-08
66 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2500_MA0-600_13TeV-madgraph 1.09886604928e-08
67 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2500_MA0-700_13TeV-madgraph 1.18007758001e-08
68 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2500_MA0-800_13TeV-madgraph 9.6722294167e-09
69 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-600_MA0-300_13TeV-madgraph-pythia8 0.154584164627
70 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-600_MA0-400_13TeV-madgraph 2.23897751281e-05
71 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-800_MA0-300_13TeV-madgraph-pythia8 0.0759006318065
72 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-800_MA0-500_13TeV-madgraph 0.0127634739006
73 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-800_MA0-600_13TeV-madgraph 0.00370929965513
BKG: 387.639847903
Data: 312.0
