Channel 4mu
55 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1700_MA0-500_13TeV-madgraph 5.4726395889e-07
56 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1700_MA0-600_13TeV-madgraph 5.10114674334e-07
57 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2000_MA0-300_13TeV-madgraph-pythia8 0.000336483959547
58 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2000_MA0-400_13TeV-madgraph 1.76612136984e-07
59 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2000_MA0-500_13TeV-madgraph 1.55016560584e-07
60 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2000_MA0-600_13TeV-madgraph 1.51525873437e-07
61 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2000_MA0-700_13TeV-madgraph 1.3655185471e-07
62 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2000_MA0-800_13TeV-madgraph 1.43751208304e-07
63 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2500_MA0-300_13TeV-madgraph-pythia8 5.56228500734e-05
64 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2500_MA0-400_13TeV-madgraph 2.94721544563e-08
65 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2500_MA0-500_13TeV-madgraph 2.32672017206e-08
66 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2500_MA0-600_13TeV-madgraph 2.23594179033e-08
67 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2500_MA0-700_13TeV-madgraph 2.14249758163e-08
68 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-2500_MA0-800_13TeV-madgraph 2.01198033437e-08
69 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-600_MA0-300_13TeV-madgraph-pythia8 0.197598544398
70 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-600_MA0-400_13TeV-madgraph 2.68234748612e-05
71 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-800_MA0-300_13TeV-madgraph-pythia8 0.11034637857
72 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-800_MA0-500_13TeV-madgraph 0.0170184715449
73 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-800_MA0-600_13TeV-madgraph 0.00458722350762
BKG: 422.266672357
Data: 348.0
